,,,,,,,trackDescription,,,,,Coordinate,,
ID,identifier,TrackName,fIlePath,valley,images,videoPath,generalDesc,instrumentDesc,MusicianDesc,lyrictranslit,lyrictranslation,Latitude,Longitude,oneLineDescription
12,Vol02-Tr05,Tarona,https://islamicgarden.ualberta.ca/flask/assets/Vol02-Tr05.ogg,6,"/images/Ensemble.jpg , /images/Instruments-Doira-1.png , /images/Instruments-Doira-2.png , /images/Instruments-Dutar-1.png , /images/Instruments-Dutar-2.png , /images/Instruments-Sato.png , /images/Instruments-Tanbur-1.png , /images/Instruments-Tanbur-2.png , ",/video/Disk02-Excertp01.mp4,/decriptions/GeneralDescription2-5.txt,/decriptions/InstrumentsDescription2-5.txt,,,,,,"Tarona; In the Shashmaqam, tarona-s are short songs that provide a melodic and rhythmic transition between the principal vocal pieces of each suite."
13,Vol07-Tr08,Torghay,https://islamicgarden.ualberta.ca/flask/assets/Vol07-Tr08.ogg,6,"/images/Instrument-Dutar.jpg ,  /images/Performer02-bewilderment.jpg ",,/decriptions/GeneralDescription7-8.txt,,,,,,,"Torghay (Lark); Music: Unattributed; Shuhrat Razzaqov, dutar"
14,Vol07-Tr04,Qushtar,https://islamicgarden.ualberta.ca/flask/assets/Vol07-Tr04.ogg,6,"/images/Instrument-Dutar.jpg , /images/Performer01-bewilderment.jpg",,/decriptions/GeneralDescription7-4.txt,,,,,,,"Qushtar (Double Strings); Music: Unattributed; performance version of Kuzikhon Madrahimov (1888–1954); Sirojiddin Juraev, dutar"
15,Vol03-Tr02,Raga Yaman,https://islamicgarden.ualberta.ca/flask/assets/Vol03-Tr02.ogg,7,"/images/Instrument-Rubab.jpg ,  /images/Instrument-Tabla.jpg , /images/performer01-poverty.png , /images/performer02-poverty.png , /images/Rubab-Maker.png",/video/video-excerpt3-1.mp4,/decriptions/GeneralDescription3-2.txt,/decriptions/InstrumentsDescription3-2.txt,,,,,,"Raga Yaman; In this distinctively Afghan type of classical composition, sometimes known as naghma-ye chahartuk (four-part instrumental piece), or as lareh, Homayun and Toryalai interpret raga yaman."
16,Vol04-Tr05,Aqsholpan,https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr05.ogg,7,"/images/Instrument-Dombra.jpg , /images/Performer-poverty.jpg , ",/video/video-excerpt-poverty.mp4,/decriptions/GeneralDescription4-5.txt,,/decriptions/MusiciansBio4-5.txt,,,,,"Aqsholpan (Lovely Sholpan); Music: traditional; Aigul Ulkenbaeva, dombra"
17,Intro01,Introduction to the Valley of Quest,,1,,,,,,,https://drive.google.com/open?id=1cN66Djl30DXBWwpDRRo16HvAhra_aNn8,,,"The introductory piece to the Valley of Quest, corresponding with ""Dastgah-e Shoor"""
18,Intro02,Introduction to the Valley of Love,,2,,,,,,,https://drive.google.com/open?id=1FAv2vJjKmCQ9BzTDbeW9CRk-lIpOpnMT,,,"The introductory piece to the Valley of Love, corresponding with ""Dastgah-e Segah"""
19,Intro03,Introduction to the Valley of Knowledge,,3,,,,,,,https://drive.google.com/open?id=19eJLppB4Xtvz9oSzhq9BIKyQllwa79AZ,,,"The introductory piece to the Valley of Knowledge, corresponding with ""Dastgah-e Chahārgāh"""
20,Intro04,Introduction to the Valley of Detachment,,4,,,,,,,https://drive.google.com/open?id=1DHdc55_Jr8H118HFGjnhzB4cZ105r7nk,,,"The introductory piece to the Valley of Detachment, corresponding with ""Dastgah-e Mahour"""
21,Intro05,Introduction to the Valley of Unity,,5,,,,,,,https://drive.google.com/open?id=1xvkUwt3F1cFaYJauxc8eo-fvmveiZrb_,,,"The introductory piece to the Valley of Unity, corresponding with ""Dastgah-e Homayoun"""
